id;date;details;status;payment_method;payment_date;payment_amount
1;2020-09-25T08:10:40;RAM Focused;PAID;CASH_ON_DELIVERY;2020-09-25T16:32:47;64379
2;2020-09-25T05:00:46;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-09-25T10:11:04;17323
3;2020-09-25T09:28:11;Incredible Baby;CANCELLED;PAYPAL;2020-09-25T12:59:52;11017
4;2020-09-25T06:58:06;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-09-25T07:02:14;51438
5;2020-09-25T01:38:14;function;PAID;PAYPAL;2020-09-25T18:12:19;32278
6;2020-09-25T02:38:02;action-items;CANCELLED;CASH_ON_DELIVERY;2020-09-25T16:25:14;5232
7;2020-09-25T19:24:45;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-09-25T13:02:07;62169
8;2020-09-25T05:19:49;Toys;ISSUED;PAYPAL;2020-09-25T15:57:46;10756
9;2020-09-25T06:50:14;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-09-25T20:33:47;58055
10;2020-09-25T05:27:59;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-09-25T17:54:10;94075
