id;placed_date;status;code
1;2020-09-25T15:32:40;COMPLETED;Georgia calculate withdrawal
2;2020-09-25T02:29:10;COMPLETED;compress Steel out-of-the-box
3;2020-09-25T04:00:22;PENDING;Concrete
4;2020-09-25T17:26:17;CANCELLED;Investment Account
5;2020-09-25T04:43:07;PENDING;United States of America
6;2020-09-25T18:55:11;CANCELLED;IB Industrial Credit Card Account
7;2020-09-25T22:01:36;CANCELLED;Cotton Egyptian Pound
8;2020-09-25T06:57:40;COMPLETED;Home Loan Account
9;2020-09-25T15:51:56;COMPLETED;Human
10;2020-09-25T02:00:34;CANCELLED;payment
